Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
221,Slipknot,,"4,567,848,818",0,206,0,10,70,174,29.03.22,84%,34%,5%,0%
222,Megan Thee Stallion,,"4,566,174,291","1,218,895,485",117,1,11,45,96,11.04.22,82%,38%,9%,1%
223,Henrique & Juliano,,"4,559,712,376","753,449,671",166,0,12,106,158,27.03.22,95%,64%,7%,0%
224,Christina Aguilera,,"4,555,078,258","2,399,631,670",273,0,11,56,161,09.02.22,59%,21%,4%,0%
225,Labrinth,,"4,549,190,078","369,860,683",126,0,13,41,92,01.03.22,73%,33%,10%,0%
226,Dalex,,"4,544,402,526","1,265,738,776",121,0,15,42,96,08.04.22,79%,35%,12%,0%
227,Oasis,,"4,531,611,186",1,237,1,6,48,179,10.04.22,76%,20%,3%,0%
228,Tame Impala,,"4,522,505,933","150,167,569",98,0,11,58,84,23.03.22,86%,59%,11%,0%
229,The Lumineers,,"4,510,863,778",0,82,0,8,51,77,09.04.22,94%,62%,10%,0%
230,Julia Michaels,,"4,498,276,283","1,605,475,809",65,1,7,38,62,24.03.22,95%,58%,11%,2%
231,Sean Paul,,"4,442,462,794","3,670,801,643",407,0,10,44,158,09.03.22,39%,11%,2%,0%
232,Cheat Codes,,"4,423,437,528","292,171,387",144,0,7,41,85,08.03.22,59%,28%,5%,0%
233,Ne-Yo,,"4,422,556,439","1,939,416,230",190,0,11,34,133,10.02.22,70%,18%,6%,0%
234,Alicia Keys,,"4,416,228,314","1,264,655,349",250,0,7,54,169,07.04.22,68%,22%,3%,0%
235,Jess Glynne,,"4,416,221,515","474,186,612",83,0,10,32,61,03.02.22,73%,39%,12%,0%
236,Disclosure,,"4,408,977,764","23,748,409",182,0,7,53,123,01.03.22,68%,29%,4%,0%
237,Justin Quiles,,"4,405,501,639","3,806,893,938",157,0,10,64,122,27.02.22,78%,41%,6%,0%
238,Florida Georgia Line,,"4,397,195,900","2,376,994,644",128,0,14,65,98,10.04.22,77%,51%,11%,0%
239,Kings of Leon,,"4,370,537,072","1,417,643",121,0,6,68,107,11.04.22,88%,56%,5%,0%
240,Gusttavo Lima,,"4,363,435,455","775,043,373",284,0,8,100,221,26.03.22,78%,35%,3%,0%
241,TWICE,,"4,343,162,915","34,274,006",204,0,12,82,177,11.04.22,87%,40%,6%,0%
242,Tove Lo,,"4,334,803,620","1,317,174,119",136,0,7,63,105,09.04.22,77%,46%,5%,0%
243,Fifth Harmony,,"4,327,594,950","181,476,156",75,1,7,46,75,03.04.22,100%,61%,9%,1%
244,Zion & Lennox,,"4,309,995,534","2,731,830,437",153,0,11,44,87,15.03.22,57%,29%,7%,0%
245,6LACK,,"4,299,166,574","842,640,704",78,0,10,60,77,12.03.22,99%,77%,13%,0%
246,Chance the Rapper,,"4,290,538,168","4,055,460,023",101,0,12,48,85,13.03.22,84%,48%,12%,0%
247,Luke Bryan,,"4,288,920,529","470,518,094",158,0,15,62,131,31.03.22,83%,39%,9%,0%
248,Alesso,,"4,284,275,257","130,725,478",123,0,9,37,91,11.04.22,74%,30%,7%,0%
249,Natti Natasha,,"4,264,233,032","1,728,176,387",93,0,9,42,71,10.04.22,76%,45%,10%,0%
250,The Script,,"4,250,201,734","1,311,120",98,0,7,51,86,24.03.22,88%,52%,7%,0%
251,ABBA,,"4,241,503,684",29,160,0,10,52,139,05.03.22,87%,33%,6%,0%
252,Morgan Wallen,,"4,233,018,031","367,351,042",58,0,11,58,58,07.04.22,100%,100%,19%,0%
253,Five Finger Death Punch,,"4,222,383,645",0,136,0,8,88,132,06.03.22,97%,65%,6%,0%
254,Madonna,,"4,222,199,425","129,956,047",724,0,7,68,320,11.04.22,44%,9%,1%,0%
255,Zé Neto & Cristiano,,"4,221,145,261","497,595,884",169,0,12,82,148,08.04.22,88%,49%,7%,0%
256,Jason Mraz,,"4,207,246,125","93,202,208",240,1,6,48,154,05.03.22,64%,20%,3%,0%
257,Florence + The Machine,,"4,205,825,596",312,138,0,8,77,127,07.04.22,92%,56%,6%,0%
258,Galantis,,"4,189,406,344","78,683,393",234,0,8,51,152,03.04.22,65%,22%,3%,0%
259,Morat,,"4,185,875,702","385,764,813",70,0,11,59,69,11.04.22,99%,84%,16%,0%
260,Creedence Clearwater Revival,,"4,159,996,209",0,130,0,8,35,109,22.03.22,84%,27%,6%,0%
261,Piso 21,,"4,159,992,612","59,739,592",81,0,11,30,70,15.01.22,86%,37%,14%,0%
262,Nickelback,,"4,155,481,128","3,896,172",149,0,12,55,105,09.04.22,70%,37%,8%,0%
263,Whitney Houston,,"4,138,412,884","11,987,913",294,0,9,39,142,11.04.22,48%,13%,3%,0%
264,Glee Cast,,"4,120,130,390",0,723,0,0,97,606,24.02.22,84%,13%,0%,0%
265,Bruce Springsteen,,"4,118,954,973","39,600,529",785,0,10,56,381,24.03.22,49%,7%,1%,0%
